,label,stimuli,S1U1,S2U1,S2U2,S2U3,S2U4,S2U5,S3U1,S3U2,S4U1,S1U2,S1U3,S3U3
0,0,Bea,[],"[0.4232000000000653, 0.4331000000000813, 0.4395000000000664, 0.44470000000001164, 0.4617000000000644, 0.5341000000000804, 0.5522000000000844, 0.5827000000000453, 0.6294000000000324, 0.6439000000000306, 0.6473000000000866, 0.6545000000000982, 0.7001000000000204, 0.7036000000000513, 0.7096000000000231, 0.75750000000005, 0.7836000000000922, 0.7976000000001022, 0.80600000000004, 0.8105000000000473, 0.8163000000000693, 0.8452000000000908, 0.8753000000000384, 0.9059000000000879, 0.9428000000000338, 1.0552000000000135]",[],[],"[0.24260000000003856, 0.3250000000000455, 0.3287000000000262, 0.33790000000010423, 0.358600000000024, 0.37190000000009604, 0.5307999999999993, 0.6046000000000049, 0.6511000000000422, 0.6796000000000504, 0.6960000000000264, 0.7193000000000893, 0.7344000000000506, 0.7619000000000824, 0.7737000000000762, 0.8297000000000025, 0.8540000000000418, 0.8621000000000549, 0.9106000000000449, 0.9189000000000078, 0.9526000000000749, 1.114400000000046]",[],"[0.02940000000000964, 0.647199999999998, 0.6816000000000031, 0.7068000000000438, 0.7479000000000724, 0.7628000000000839, 0.8317000000000689]","[0.16540000000009059, 0.21880000000010114, 0.24610000000006949]","[0.45460000000002765, 0.7629000000000588]",[0.630800000000022],[0.6613000000000966],"[0.539000000000101, 0.5424000000000433, 0.6754000000000815, 0.7690000000000055, 1.0105000000000928]"
1,0,Bea,"[0.024999999999977263, 0.13009999999997035, 0.14240000000006603, 0.6302000000000589, 0.6453000000000202, 0.6662000000000035, 0.6841000000000577, 0.71550000000002, 0.7233999999999696, 0.72950000000003, 0.7590999999999894, 0.7957000000000107, 0.7989999999999782]","[0.054600000000050386, 0.08270000000004529, 0.12130000000001928, 0.14549999999997, 0.5899000000000569, 0.6055999999999813, 0.6317000000000235, 0.6388000000000602, 0.6453000000000202, 0.6515000000000555, 0.6603999999999814, 0.6864000000000487, 0.6947000000000116, 0.7101999999999862, 0.7138999999999669, 0.7169999999999845, 0.7547000000000708, 0.7763999999999669, 0.8059000000000651, 0.8147999999999911, 0.8220999999999776, 0.8427000000000362, 0.84800000000007, 0.8530000000000655]",[],"[0.04060000000004038, 0.10320000000001528, 0.39189999999996417]","[0.003100000000017644, 0.0927000000000362, 0.20799999999997, 0.33749999999997726, 0.4922000000000253, 0.537900000000036, 0.5459000000000742, 0.5861999999999625, 0.5958000000000538, 0.5996000000000095, 0.6136000000000195, 0.6567000000000007, 0.6680000000000064, 0.6919000000000324, 0.7239000000000715, 0.7296999999999798, 0.7331000000000358, 0.7436999999999898, 0.8288000000000011, 0.88250000000005, 0.9388999999999896, 0.9721000000000686, 1.1480999999999995, 1.163000000000011]","[0.014800000000036562, 0.06270000000006348, 0.0986000000000331, 0.13269999999999982, 0.3604000000000269, 0.4075000000000273, 0.4298000000000002]","[0.662900000000036, 0.7002999999999702, 0.7939000000000078, 0.8048000000000002]","[0.2318000000000211, 0.2724000000000615, 0.3166999999999689, 0.40660000000002583, 0.5547000000000253, 0.5718000000000529, 0.6213999999999942, 0.7367000000000417, 0.7553000000000338]","[0.07290000000000418, 0.3892000000000735, 1.1847000000000207]","[0.679300000000012, 0.7803000000000111]","[0.059799999999995634, 0.07429999999999382, 0.10170000000005075, 0.1108000000000402, 0.1634999999999991, 0.16679999999996653, 0.171100000000024, 0.2724000000000615, 0.308400000000006, 0.338100000000054, 0.3645000000000209, 0.3930000000000291, 0.39850000000001273, 0.40449999999998454, 0.42439999999999145, 0.44470000000001164, 0.45289999999999964, 0.4619000000000142, 0.4759999999999991, 0.4898000000000593, 0.49480000000005475, 0.5143000000000484, 0.5203999999999951, 0.5272999999999683, 0.5455000000000609, 0.5986000000000331]","[0.01850000000001728, 0.0844000000000733, 0.11220000000002983, 0.13189999999997326, 0.5960000000000036, 0.6071000000000595, 0.6399000000000115, 0.6725000000000136, 0.7321000000000595]"
2,0,Bea,"[0.07400000000006912, 0.12660000000005311, 0.1651000000000522, 0.1795000000000755, 0.19050000000004275, 0.21230000000002747, 0.2239000000000715, 0.24230000000000018, 0.3160000000000309, 0.4997000000000753, 0.6556000000000495, 0.71550000000002, 0.8221000000000913]","[0.0704000000000633, 0.09780000000000655, 0.10860000000002401, 0.11320000000000618, 0.1271000000000413, 0.15460000000007312, 0.19850000000008095, 0.2153000000000702, 0.24620000000004438, 0.25499999999999545, 0.2837000000000671, 0.29730000000006385, 0.315900000000056, 0.3805000000000973, 0.4107000000000198, 0.5978000000000065, 0.6229000000000724, 0.6367999999999938, 0.6557999999999993, 0.6603000000000065, 0.6755000000000564, 0.6855000000000473, 0.711400000000026, 0.7277000000000271, 0.7334000000000742, 0.745900000000006, 0.7513000000000147, 0.7590000000000146, 0.779700000000048, 0.7951000000000477, 0.8088999999999942, 0.8300000000000409, 0.8371000000000777, 0.8763000000000147]","[0.2381000000000313, 0.3993000000000393]","[0.1713000000000875, 0.1936000000000604, 0.3109000000000606, 0.33199999999999363, 0.4997000000000753]","[0.023000000000024556, 0.03660000000002128, 0.11710000000005039, 0.18110000000001492, 0.3248000000000957, 0.34980000000007294, 0.35599999999999454, 0.38999999999998636, 0.6420000000000528, 0.6661000000000286, 0.6978000000000293, 0.7083000000000084, 0.7205999999999904, 0.789600000000064, 0.8119000000000369, 0.8792000000000826]","[0.06540000000006785, 0.1312000000000353, 0.1372000000000071, 0.14380000000005566, 0.29140000000006694, 0.44429999999999836]","[0.04640000000006239, 0.5565000000000282]","[0.3124000000000251, 0.32380000000000564, 0.3269000000000233, 0.5156000000000631, 0.5523000000000593, 0.6141000000000076]","[0.29120000000000346, 0.47460000000000946]","[0.2381000000000313, 0.2783000000000584, 0.3994999999999891]","[0.009700000000066211, 0.035799999999994725, 0.05090000000006967, 0.06680000000005748, 0.08580000000006294, 0.11760000000003856, 0.1432000000000926]","[0.09770000000003165, 0.3564000000000078, 0.46640000000002146, 0.5353000000000065, 0.6530999999999949, 0.6672000000000935, 0.6809000000000651, 0.7675000000000409]"
3,0,Bea,[0.2238000000000966],"[0.07000000000005002, 0.09110000000009677, 0.09820000000001983, 0.11630000000002383, 0.12459999999998672, 0.1714000000000624, 0.6154000000000224, 0.6542000000000598, 0.6594000000000051, 0.6696000000000595, 0.6847999999999956, 0.6896000000000413, 0.7246000000000095, 0.7574000000000751, 0.7673000000000911, 0.7753000000000156, 0.7929000000000315, 0.810100000000034, 0.8132000000000517, 0.8286000000000513, 0.8423000000000229, 0.8514999999999873, 0.8776000000000295]","[0.11050000000000182, 0.13269999999999982, 0.16290000000003602]",[0.4740000000000464],"[0.036500000000046384, 0.3221000000000913, 0.4169000000000551, 0.4316000000000031, 0.638300000000072, 0.6416000000000395, 0.6623000000000729, 0.66700000000003, 0.6776000000000977, 0.6947000000000116, 0.737700000000018]",[],"[0.15240000000005693, 0.8061000000000149]","[0.015300000000024738, 0.8260999999999967, 0.8799000000000206, 0.8854000000000042, 0.9598000000000866]",[0.9859000000000151],"[0.11050000000000182, 0.1329000000000633, 0.1630999999999858, 0.48310000000003583]","[0.23500000000001364, 0.2579000000000633, 0.26320000000009713, 0.28320000000007894, 0.29169999999999163, 0.3047000000000253, 0.3211000000000013, 0.32770000000004984, 0.3351999999999862, 0.39410000000009404, 0.43020000000001346, 0.455600000000004, 0.4720000000000937, 0.4794000000000551, 0.5147000000000617, 0.5610000000000355, 0.6035000000000537]","[0.16820000000006985, 0.5188000000000557, 0.5825000000000955, 0.5914999999999964, 0.6091000000000122, 0.61850000000004, 0.6375000000000455, 0.6518000000000939, 0.6832000000000562, 0.7326000000000477, 0.7889000000000124, 0.8353000000000748, 0.8892000000000735]"
4,0,Bea,"[0.12319999999999709, 0.20810000000005857, 0.33780000000001564, 0.3570000000000846, 0.3668999999999869, 0.5170000000000528, 0.7205999999999904]","[0.4913999999999987, 0.6136000000000195, 0.6218000000000075, 0.6470000000000482, 0.6666999999999916, 0.718900000000076, 0.7359000000000151, 0.7479000000000724, 0.7648000000000366, 0.7702000000000453, 0.823500000000081]",[],[],"[0.08570000000008804, 0.16790000000003147, 0.379099999999994, 0.4433999999999969, 0.5730000000000928, 0.5869999999999891, 0.6329000000000633, 0.6521999999999935, 0.6637000000000626, 0.7277000000000271, 0.7779000000000451, 0.7830999999999904, 0.8580000000000609, 0.9295000000000755, 0.9621000000000777, 1.141300000000001]",[],"[0.2740000000000009, 0.5547000000000253, 0.7683000000000675, 0.7752000000000407, 0.7786000000000968, 0.797800000000052, 0.8464000000000169, 0.9033000000000584]","[0.23060000000009495, 0.23869999999999436, 0.28330000000005384, 0.29570000000001073, 0.30080000000009477, 0.32200000000000273, 0.3486000000000331, 0.36959999999999127, 0.39430000000004384, 0.44280000000003383, 0.4681000000000495, 0.5171000000000276, 0.5214000000000851, 0.5583000000000311, 0.5682000000000471, 0.6147000000000844, 0.6228000000000975, 0.70900000000006, 0.7266000000000759, 0.7348000000000638, 0.7443000000000666, 0.7826000000000022, 0.8131000000000768, 0.8183999999999969, 0.8648000000000593, 0.8757000000000517]",[0.22210000000006858],[],"[0.5515000000000327, 0.6265000000000782]","[0.39039999999999964, 0.4114000000000715, 0.49260000000003856, 0.5342000000000553, 0.5517000000000962]"
5,0,Bol,"[0.6646999999998116, 0.667699999999968, 0.7056999999999789, 0.8045999999999367, 0.8251999999997679, 1.1619999999998072]","[0.605199999999968, 0.6662999999998647, 0.7067000000001826, 0.7705999999998312, 0.8647000000000844, 0.8816000000001623, 0.9733999999998559]",[1.1424000000001797],[],"[0.5826000000001841, 0.599999999999909, 0.6480999999998858, 0.6981999999998152, 0.7155999999999949, 0.7498999999997977, 0.8364000000001397, 1.0612999999998465, 1.1639000000000124]","[0.9407999999998538, 0.9875999999999294, 1.0810999999998785, 1.1024999999999636]",[],"[0.9823999999998705, 1.034599999999955]","[0.1954000000000633, 1.0329000000001543]",[1.1424999999999272],[0.832300000000032],[]
6,0,Bol,"[0.7518000000000029, 0.8744999999998981, 0.8805999999999585, 0.8859999999999673, 0.9376999999999498, 0.940599999999904, 1.0205999999998312]","[0.32979999999997744, 0.4717999999998028, 0.47899999999981446, 0.48549999999977445, 0.9365999999999985, 0.9490999999998166, 0.9706999999998516, 1.0526999999997315, 1.1353999999996631, 1.1387999999997191, 1.1810999999997875]",[0.8709999999996398],"[0.1815999999998894, 0.1916999999998552, 0.2302999999997155, 0.39449999999987995, 1.170799999999872]","[0.20939999999973224, 0.8006999999997788, 0.8760999999999513, 0.9145999999996093, 0.987699999999677, 1.0144000000000233, 1.056699999999637]","[0.18820000000005166, 0.23689999999987776, 0.24049999999988358, 0.2632999999996173, 0.316899999999805, 0.33579999999983556, 0.33999999999969077, 0.38040000000000873, 0.42020000000002256]","[0.2927999999997155, 0.31419999999980064, 0.75879999999961]","[0.18659999999999854, 0.21439999999984138, 0.2504999999996471, 0.26789999999982683, 0.28139999999984866, 0.468199999999797, 0.5873999999998887, 0.9215999999996711, 0.9633999999996377]",[0.336699999999837],[0.8710999999998421],"[0.47910000000001673, 0.5205999999998312, 0.9505999999996675, 1.0562999999997373, 1.0724999999997635, 1.0945999999999003]",[]
7,0,Bol,"[0.2568999999994048, 0.4566999999997279]","[0.37909999999965294, 0.38839999999981956, 0.4078999999996995, 0.5005999999998494, 0.5258999999996377, 0.5303999999996449, 0.543699999999717, 0.5830999999998312, 0.6498999999994339, 0.674399999999423, 0.8687999999997373]","[0.1804999999994834, 0.270799999999781]","[0.05089999999972861, 0.06459999999970023, 0.13479999999981374, 0.2814999999995962, 0.5477999999998246, 0.5620999999996457]","[0.27749999999969077, 0.47389999999950305, 0.7121999999994841, 0.718199999999797, 0.7549999999996544, 0.8128999999994448, 0.8190999999997075, 0.8283999999994194, 0.8884999999995671, 0.8949999999995271]","[0.026099999999587453, 0.04269999999951324, 0.08419999999978245, 0.12289999999984502, 0.12769999999954962, 0.5568999999995867, 0.5896999999995387]","[0.9941999999996369, 1.1539999999995416]",[],"[0.28209999999944557, 0.7597999999998137]","[0.12619999999969878, 0.18059999999968568, 0.2708999999995285]","[0.28039999999964493, 0.2853999999997541, 0.3390999999996893, 0.3744999999994434, 0.38229999999975917, 0.40479999999979555, 0.4699999999997999, 0.4986999999996442, 0.5174999999994725, 0.5659999999998035, 0.5919999999996435, 0.6786999999994805, 0.68979999999965, 0.6943999999994048, 0.7880999999997584, 0.8223999999995613, 0.8343999999997322, 0.8391999999994368, 0.8708999999994376, 0.880699999999706, 1.0267999999996391]","[0.7063999999995758, 0.7878999999998086, 0.7912999999994099, 0.8392999999996391]"
8,0,Bol,"[0.03249999999979991, 0.047299999999722786, 0.12879999999950087, 0.24199999999973443, 0.2725999999997839, 0.29639999999972133, 0.3635999999996784, 0.9761999999996078, 1.1967999999997119]","[0.031599999999798456, 0.518399999999474, 0.5275999999994383, 0.5375999999996566, 0.593199999999797, 0.6113999999997759, 0.7059999999996762, 0.7489999999997963, 0.7748999999994339, 0.8013999999998305, 0.810399999999845, 0.8242999999997664, 0.8284999999996217, 0.8746999999998479, 0.8899999999994179, 0.9161999999996624, 0.9205999999994674, 0.9247999999997774, 0.9368999999996959, 0.9486999999994623, 0.9650999999994383, 1.00879999999961, 1.0156999999994696, 1.0640999999995984, 1.0720999999994092, 1.112999999999829, 1.1972999999998137]",[0.43939999999975043],"[0.47359999999980573, 0.500199999999495, 0.7202999999994972, 0.8417999999996937, 0.853099999999813]","[0.2310999999995147, 0.6219999999998436, 0.6294999999995525, 0.7403999999996813, 0.7674999999994725, 0.7712999999994281, 0.8594999999995707, 0.8647999999998319]","[0.6603999999997541, 0.6693999999997686, 0.6951999999996588, 0.6992999999997664, 0.74579999999969, 0.8450999999995474, 0.8489999999997053, 0.9077999999994972, 0.9292999999997846, 1.039799999999559, 1.0549999999998363, 1.1205999999997402, 1.1864999999997963]",[],[],[],[],"[0.40779999999949723, 0.44079999999985375, 0.48789999999962674, 0.5292999999996937, 0.5594999999998436, 0.6327999999994063, 0.6687999999994645, 0.8773999999998523, 0.906999999999698, 0.9232999999994718, 0.9854999999997744, 1.00879999999961, 1.0127999999995154, 1.0468999999998232, 1.0994999999998072]","[0.767399999999725, 0.9591999999997824, 1.1452999999996791, 1.149199999999837, 1.1930999999995038, 1.1973999999995613]"
9,0,Bol,[],"[0.3255999999996675, 0.6772999999998319, 0.6991999999995642, 0.7109999999997854, 0.7271999999998116, 0.7302999999997155, 0.742099999999482, 0.7492999999994936, 0.7708999999995285, 0.8050999999995838, 0.8466999999996005, 0.8720999999995911, 1.0180999999997766]",[0.20229999999946813],"[0.22399999999970532, 0.28839999999945576, 0.33699999999953434, 0.39309999999977663, 0.43149999999968713, 0.5139999999996689]","[0.5632999999997992, 0.720499999999447, 0.7614999999996144, 0.9723999999996522, 1.0844999999994798]","[0.37059999999974025, 0.38209999999980937, 0.4041999999994914, 0.41129999999975553, 0.4565999999995256, 0.4739999999997053]",[],"[1.0841999999997824, 1.089799999999741, 1.102299999999559, 1.121299999999792]","[0.28029999999944266, 0.5039999999994507]",[0.2023999999996704],"[0.5084999999994579, 0.5467999999996209, 0.8446999999996478, 0.8680999999996857, 0.9164999999998145]",[0.3250999999995656]
