,label,stimuli,S1U1,S2U1,S2U2,S2U3,S2U4,S2U5,S3U1,S3U2,S4U1,S1U2,S1U3,S3U3
0,0,Bea,"[0.3382000000000289, 0.37200000000007094, 0.39220000000000255]","[0.09350000000006276, 0.2784000000000333, 0.42650000000003274, 0.481200000000058, 0.5070000000000618, 0.5548000000000002, 0.5927000000000362]",[],[0.30090000000006967],"[0.1331000000000131, 0.29280000000005657, 0.33770000000004075, 0.6339000000000397, 0.6965999999999894]",[],[0.8283999999999878],[0.9644000000000688],"[0.3992000000000644, 0.43450000000007094, 0.467200000000048]",[],[],[]
1,0,Bea,"[0.8239999999999554, 0.9290999999999485, 0.9414000000000442]","[0.5010999999999513, 0.5828000000000202, 0.6957999999999629, 0.7825000000000273, 0.8536000000000286, 0.8817000000000235, 0.9202999999999975, 0.9444999999999482]",[],"[0.0866999999999507, 0.14840000000003783, 0.2845999999999549, 0.3565999999999576, 0.8396000000000186, 0.9021999999999935]","[0.7229999999999563, 0.7767000000000053, 0.8020999999999958, 0.8917000000000144]","[0.302599999999984, 0.36829999999997654, 0.3830000000000382, 0.43089999999995143, 0.45470000000000255, 0.4619999999999891, 0.4673999999999978, 0.5137999999999465, 0.5593999999999824, 0.6029999999999518, 0.7055000000000291, 0.7695999999999685, 0.7735000000000127, 0.8138000000000147, 0.8617000000000417, 0.8976000000000113, 0.931699999999978]",[],[],"[0.11739999999997508, 0.42190000000005057, 0.6955000000000382, 0.8718999999999824]",[],"[0.014000000000010004, 0.1310999999999467, 0.4657999999999447, 0.48450000000002547, 0.4921000000000504, 0.5599999999999454, 0.5726999999999407, 0.5896000000000186, 0.6317999999999984, 0.7790999999999713, 0.7880999999999858, 0.8587999999999738, 0.873299999999972, 0.9007000000000289, 0.9098000000000184, 0.9624999999999773, 0.9657999999999447, 0.9701000000000022]","[0.36209999999994125, 0.37599999999997635, 0.39610000000004675, 0.39999999999997726, 0.42190000000005057, 0.45270000000004984, 0.4701000000000022, 0.7743000000000393, 0.8174999999999955, 0.8834000000000515, 0.911200000000008, 0.9308999999999514]"
2,0,Bea,"[0.5149999999999864, 0.5673000000000457, 0.5701000000000249, 0.5795000000000528, 0.6275000000000546, 0.638300000000072, 0.662900000000036, 0.8730000000000473, 0.9256000000000313, 0.9641000000000304, 0.9785000000000537, 0.9895000000000209]","[0.6972000000000662, 0.8694000000000415, 0.8967999999999847, 0.9076000000000022, 0.9121999999999844, 0.9261000000000195, 0.9536000000000513, 0.9975000000000591]",[],"[0.6036000000000286, 0.6067000000000462, 0.9703000000000657, 0.9926000000000386]","[0.5828000000000202, 0.6665000000000418, 0.8220000000000027, 0.8355999999999995, 0.9161000000000286, 0.9800999999999931]","[0.864400000000046, 0.9302000000000135, 0.9361999999999853, 0.9428000000000338]",[0.8454000000000406],"[0.2259999999999991, 0.25329999999996744, 0.4251000000000431, 0.43460000000004584, 0.43880000000001473, 0.4556999999999789]","[0.27129999999999654, 0.7413999999999987, 0.7521000000000413]",[0.5107000000000426],"[0.47280000000000655, 0.6685999999999694, 0.6992999999999938, 0.7514999999999645, 0.8087000000000444, 0.8347999999999729, 0.8499000000000478, 0.8658000000000357, 0.8848000000000411, 0.9166000000000167, 0.9422000000000708]","[0.4782999999999902, 0.49869999999998527, 0.5221000000000231, 0.5863000000000511, 0.5982999999999947, 0.7635000000000218, 0.8967000000000098]"
3,0,Bea,"[0.09450000000003911, 0.21440000000006876, 0.4454000000000633, 0.7522000000000162, 0.7556000000000722]","[0.03570000000001983, 0.04989999999997963, 0.061599999999998545, 0.10739999999998417, 0.36760000000003856, 0.8690000000000282, 0.8901000000000749, 0.897199999999998, 0.915300000000002, 0.9235999999999649, 0.9704000000000406]","[0.90949999999998, 0.931699999999978, 0.9619000000000142]",[0.0764000000000351],"[0.5637000000000398, 0.7386999999999944, 0.8355000000000246]",[],[0.9514000000000351],[0.8143000000000029],"[0.04980000000000473, 0.07310000000006767, 0.14409999999998035, 0.3730000000000473, 0.4758000000000493, 0.5542000000000371, 0.766399999999976]","[0.90949999999998, 0.9319000000000415, 0.962099999999964]",[],"[0.12450000000001182, 0.13589999999999236, 0.14400000000000546, 0.16240000000004784, 0.18700000000001182, 0.23059999999998126, 0.3731000000000222, 0.4251000000000431, 0.42809999999997217, 0.4656999999999698, 0.4692999999999756, 0.4837999999999738, 0.5134000000000469, 0.5172999999999774, 0.5398000000000138, 0.5493999999999915, 0.6317999999999984, 0.7665000000000646, 0.967200000000048]"
4,0,Bea,"[0.10580000000004475, 0.31500000000005457, 0.3893000000000484, 0.5068999999999733, 0.5153999999999996, 0.7146000000000186, 0.7332999999999856, 0.7373999999999796, 0.7878000000000611, 0.9221999999999753]","[0.18610000000001037, 0.20510000000001583, 0.20810000000005857, 0.22800000000006548, 0.2521000000000413, 0.27369999999996253, 0.28499999999996817, 0.29520000000002256, 0.3465999999999667, 0.34940000000005966, 0.3585000000000491, 0.37380000000007385, 0.3971000000000231, 0.4057000000000244, 0.4778999999999769, 0.5126999999999953]",[],[0.21890000000007603],"[0.16650000000004184, 0.22210000000006858, 0.42449999999996635, 0.8847000000000662, 0.9669000000000096]",[0.27750000000003183],[0.40809999999999036],"[0.02940000000000964, 0.043700000000058026, 0.060500000000047294, 0.10550000000000637, 0.1207000000000562]","[0.11469999999997071, 0.25070000000005166]",[],"[0.14160000000003947, 0.15150000000005548, 0.15790000000004056, 0.161200000000008, 0.17669999999998254, 0.2095000000000482, 0.262299999999982, 0.29110000000002856, 0.33730000000002747, 0.34800000000007003, 0.4678000000000111, 0.47469999999998436, 0.5411000000000286]","[0.39570000000003347, 0.45460000000002765, 0.5007000000000517]"
5,0,Bol,"[0.0041999999998552084, 0.037400000000161526, 0.05400000000008731, 0.08159999999998035, 0.21169999999983702, 0.3627000000001317]",[0.056199999999989814],[],[],"[0.3787999999999556, 0.46680000000014843, 0.5727999999999156]","[0.001299999999901047, 0.00680000000011205]","[0.46900000000005093, 0.49240000000008877]","[0.034099999999853026, 0.10500000000001819, 0.3656999999998334, 0.4200999999998203, 0.4238000000000284, 0.5196000000000822]","[0.1671000000001186, 0.9944000000000415]",[],"[0.5718000000001666, 0.5799000000001797, 0.5868999999997868]",[0.6950000000001637]
6,0,Bol,[0.17249999999967258],"[0.01669999999967331, 0.05259999999998399, 0.05639999999993961, 0.12329999999974461, 0.13739999999961583, 0.1554999999998472, 0.16549999999961074, 0.19399999999995998, 0.24929999999994834, 0.25749999999970896, 0.3917999999998756, 0.4242999999996755, 0.4331999999999425, 0.4761999999996078, 0.5196999999998297, 0.5330999999996493, 0.5389999999997599, 0.5670000000000073, 0.5771999999997206, 0.5976999999998043, 0.6156999999998334, 0.6248999999997977, 0.6400999999996202, 0.6841999999996915, 0.7452999999995882, 0.7586999999998625]",[0.7341999999998734],"[0.3979999999996835, 0.9805999999998676, 0.9906999999998334]","[0.21219999999993888, 0.7732999999998356]","[0.37059999999974025, 0.3734999999996944, 0.4693999999999505, 0.48909999999978027, 0.9872000000000298]","[0.23009999999976571, 0.5267999999996391]","[0.01890000000003056, 0.9855999999999767]",[0.48749999999972715],"[0.6870999999996457, 0.7341999999998734]","[0.10279999999966094, 0.14789999999993597, 0.15439999999989595, 0.3429999999998472, 0.3492999999998574, 0.3951999999999316, 0.40559999999959473, 0.5300999999999476, 0.5497000000000298, 0.5589999999997417, 0.7558999999996558]","[0.04739999999992506, 0.18959999999970023, 0.1956000000000131, 0.2689999999997781, 0.407799999999952]"
7,0,Bol,[0.28859999999940555],"[0.37299999999959255, 0.38169999999945503]",[0.9794999999994616],"[0.29189999999971405, 0.29489999999941574, 0.4068999999994958, 0.8498999999997068, 0.8635999999996784, 0.9337999999997919]","[0.07679999999982101, 0.3316999999997279, 0.436399999999594, 0.6576999999997497, 0.741099999999733]","[0.3050999999995838, 0.357499999999618, 0.3973999999998341, 0.523899999999685, 0.6196999999997388, 0.6517999999996391, 0.6624999999994543, 0.773899999999685, 0.8250999999995656, 0.8416999999994914, 0.8831999999997606, 0.9218999999998232, 0.9266999999995278]",[],[],"[0.13849999999956708, 0.6721999999995205]","[0.925199999999677, 0.9795999999996639]","[0.005499999999756255, 0.025499999999738066, 0.03659999999945285, 0.07069999999976062, 0.11019999999962238, 0.17229999999972279, 0.18119999999953507, 0.24989999999979773, 0.3656999999998334, 0.38469999999961146, 0.3879999999994652, 0.39099999999962165, 0.4369999999994434, 0.4446999999995569, 0.47389999999950305, 0.49589999999943757, 0.5244999999995343, 0.7044999999998254, 0.7177999999994427, 0.7337999999995191, 0.7817999999997483, 0.7984999999994216]","[0.03999999999950887, 0.13859999999976935, 0.38109999999960564, 0.3897999999994681, 0.6723999999994703]"
8,0,Bol,"[0.0005999999993946403, 0.04629999999951906, 0.24179999999978463, 0.8314999999997781, 0.846299999999701, 0.927799999999479]","[0.2951999999995678, 0.4945999999995365, 0.8305999999997766]",[],"[0.24919999999974607, 0.41139999999950305]","[0.03419999999960055, 0.16469999999981155, 0.4078999999996995, 0.46959999999944557, 0.6012999999998101]","[0.279599999999391, 0.32829999999967185, 0.34829999999965366, 0.3838999999998123, 0.42359999999962383]",[0.3805999999995038],[],[],[],"[0.08799999999973807, 0.128299999999399, 0.16519999999945867, 0.2100999999997839, 0.22009999999954744, 0.3659999999995307, 0.4687999999996464]","[0.042999999999665306, 0.09169999999949141, 0.17329999999947177, 0.19019999999954962, 0.21939999999949578]"
9,0,Bol,"[0.18469999999979336, 0.4423999999994521, 0.4807999999998174, 0.5673999999994521, 0.7401999999997315]","[0.4203999999995176, 0.46969999999964784, 0.5472999999997228, 0.7361999999998261]",[0.4438999999997577],"[0.010299999999460852, 0.3982999999993808, 0.4124999999994543, 0.4794999999994616]","[0.04179999999951178, 0.4288999999994303]",[],[],"[0.357499999999618, 0.39689999999973224, 0.40739999999959764, 0.412199999999757, 0.41969999999946594]",[],[0.4387999999994463],"[0.015399999999772263, 0.03409999999939828, 0.03789999999980864, 0.045799999999417196, 0.08089999999947395, 0.6890999999995984, 0.7079999999996289]","[0.28419999999960055, 0.3536999999996624, 0.7375999999994747]"
10,0,Mal,"[0.5572999999994863, 0.6171999999996842, 0.88379999999961]","[0.04379999999991924, 0.14859999999953288, 0.5968999999995503, 0.7025999999996202, 0.8679999999994834, 0.9049999999997453, 0.9152999999996609, 0.9206999999996697, 0.9247999999997774, 0.9278999999996813, 0.9480999999996129, 0.9775999999997111, 0.9953999999997905]",[],"[0.11479999999983193, 0.44239999999990687, 0.5704999999998108, 0.5881999999996879, 0.6172999999998865, 0.7730999999998858]","[0.2968999999998232, 0.5838999999996304, 0.6690999999996166, 0.9699999999997999]","[0.09689999999955035, 0.12159999999948923, 0.12479999999959546, 0.1299999999996544, 0.13499999999976353, 0.20549999999957436, 0.20919999999978245, 0.23789999999962674, 0.2930999999998676, 0.3128999999998996, 0.3427999999998974, 0.3491999999996551]","[0.48929999999973006, 0.6383999999998196, 0.7472999999995409, 0.9485999999997148]",[],[0.05429999999978463],[],"[0.4843999999998232, 0.5327999999994972, 0.5662999999995009]","[0.18269999999984066, 0.20799999999962893, 0.2654999999995198, 0.6019999999998618, 0.6235999999998967, 0.6431999999995242, 0.6898999999998523, 0.7083999999995285, 0.7313999999996668, 0.7514999999998508, 0.7796999999995933, 0.8112999999998465, 0.8492999999998574, 0.9269999999996799]"
