,label,stimuli,S1U1,S2U1,S3U1,S3U2,S4U1,S4U2,S4U3
0,0,Bea,"[0.08370000000013533, 0.23720000000002983, 0.27150000000006, 0.3240000000000691, 0.37570000000005166, 0.5994000000000597, 0.6230000000000473, 0.6364000000000942, 0.6514000000001943, 0.6630000000000109, 0.6657999999999902, 0.6693000000000211, 0.6811000000000149, 0.6980000000000928, 0.7039000000002034, 0.7093000000002121, 1.0661000000000058, 1.1339000000000397, 1.1886000000001786]","[0.1773000000000593, 0.18620000000009895, 0.2130000000001928, 0.27890000000002146, 0.3161000000000058, 0.37810000000013133, 0.42250000000012733, 0.4255000000000564, 0.4500000000000455, 0.4597000000001117, 0.5022000000001299, 0.5670000000000073, 0.5702000000001135, 0.5837000000001353, 0.5995000000000346, 0.6252000000001772, 0.6502000000000407, 0.6541000000001986, 0.7479000000000724, 0.7682000000002063, 0.7916999999999916, 0.8238000000001193, 0.8722000000000207, 0.9435000000000855, 0.9914000000001124, 1.1867000000002008]","[0.023700000000189902, 0.03910000000018954, 0.1307000000001608, 0.2153000000000702, 0.2557000000001608, 0.2960000000000491, 0.3120000000001255, 0.35400000000004184, 0.39830000000006294, 0.4256000000000313, 0.5276000000001204, 0.5998000000001866, 0.6352000000001681, 0.6619000000000597, 0.7350000000001273, 0.7669000000000779, 0.7823000000000775, 0.9255000000000564, 0.9548000000002048, 1.1373000000000957]",[],"[0.23880000000008295, 0.7898999999999887, 1.171100000000024, 1.1867000000002008]","[0.3627000000001317, 0.761600000000044, 0.8372000000001663]","[0.11950000000001637, 0.13930000000004839, 0.22380000000021028, 0.23110000000019681, 0.3160000000000309, 0.34920000000010987, 0.35400000000004184, 0.4134000000001379, 0.4856000000002041, 0.6693000000000211, 0.7363000000000284, 0.7581000000000131, 0.8158000000000811, 0.8634000000001834, 0.9742000000001099, 1.003500000000031, 1.1035000000001673]"
1,0,Bea,"[0.015600000000176806, 0.07090000000016516, 0.23440000000005057, 0.3789000000001579, 0.45220000000017535, 0.6258000000000266, 0.6660000000001673, 0.7449000000001433, 0.7665000000001783, 0.9930000000001655]","[0.0008000000000265572, 0.1574000000000524, 0.4385000000002037, 0.49290000000019063, 0.5184000000001561, 0.5377000000000862, 0.6264000000001033, 0.6311000000000604, 0.6750000000001819, 0.6787000000001626, 0.7291000000000167, 0.779700000000048, 0.8166000000001077, 0.8720000000000709, 0.9506000000001222, 0.9585000000001855, 1.1027000000001408, 1.1133000000002085]","[0.0016000000000531145, 0.0239000000001397, 0.10740000000009786, 0.1671000000001186, 0.19880000000011933, 0.26300000000014734, 0.33750000000009095, 0.35690000000022337, 0.4227000000000771, 0.5145000000002256, 0.5421000000001186, 0.5494000000001051, 0.5795000000000528, 0.5893000000000939, 0.7390000000000327, 0.9071000000001277, 0.9554000000000542, 0.9848000000001775, 1.0341000000000804, 1.0522000000000844, 1.1133000000002085, 1.1553000000001248]",[],"[0.11200000000008004, 0.33880000000021937, 0.41820000000006985, 0.8547000000000935, 0.923200000000179]","[0.5192000000001826, 1.0747000000001208]","[0.029500000000098225, 0.2460000000000946, 0.26290000000017244, 0.3512000000000626, 0.3761000000001786, 0.4511000000002241, 0.5420000000001437, 0.571100000000115, 0.5938000000001011, 0.6501000000000658, 0.6809000000000651, 0.7403000000001612, 0.7690000000002328, 0.915000000000191, 0.9610000000000127, 0.983600000000024]"
2,0,Bea,"[0.10329999999999018, 0.13180000000011205, 0.1691000000000713, 0.21770000000014988, 0.22620000000006257, 0.23880000000008295, 0.35419999999999163, 0.4174000000000433, 0.5622000000000753, 0.6059999999999945, 0.6096000000000004, 0.6250999999999749, 0.6385000000000218, 0.6700000000000728, 0.6766000000000076, 0.6925000000001091, 0.7105000000001382, 0.7680000000000291, 0.952199999999948, 1.0368000000000848, 1.1205999999999676]","[0.044700000000148066, 0.07629999999994652, 0.1313000000000102, 0.14020000000004984, 0.23929999999995744, 0.2984000000001288, 0.3530000000000655, 0.5525000000000091, 0.6603999999999814, 0.672800000000052, 0.7227000000000317, 0.7403000000001612, 0.9671000000000731, 0.9770000000000891, 0.9798000000000684, 1.0253000000000156, 1.108699999999999, 1.1947999999999865]","[0.018299999999953798, 0.03350000000000364, 0.10320000000001528, 0.11730000000011387, 0.1251999999999498, 0.2039999999999509, 0.3267000000000735, 0.368900000000167, 0.4013999999999669, 0.43440000000009604, 0.6186999999999898, 0.6775000000000091, 0.8042000000000371, 0.8523999999999887, 0.8977999999999611, 0.9063000000001011, 0.9251000000001568, 0.9534000000001015, 1.036600000000135, 1.0640000000000782, 1.067600000000084, 1.1365000000000691, 1.1761000000001332, 1.1863000000000739]",[],"[0.028800000000046566, 0.35920000000010077, 0.368900000000167, 0.6602000000000317, 0.9211999999999989]","[0.4089000000001306, 0.5683000000001357, 0.7023000000001502]","[0.002300000000104774, 0.18209999999999127, 0.35429999999996653, 0.3988000000001648, 0.41820000000006985, 0.5713000000000648, 0.7137000000000171, 0.7324000000000979, 0.876700000000028, 0.9062000000001262, 1.03650000000016, 1.0766000000000986, 1.123700000000099]"
3,0,Bea,"[0.08340000000021064, 0.19840000000021973, 0.2436000000002423, 0.46070000000008804, 0.4798000000000684, 0.6122000000002572, 0.6483000000000629, 0.6826000000000931, 0.6883000000002539, 0.6979000000001179, 0.7385000000001583, 0.8182000000001608, 0.9080000000001291, 1.0111000000001695, 1.0898000000001957]","[0.05980000000022301, 0.14810000000011314, 0.29300000000012005, 0.2958000000000993, 0.3247000000001208, 0.35370000000011714, 0.4125000000001364, 0.46090000000003783, 0.4799000000000433, 0.48840000000018335, 0.5315000000000509, 0.5381000000002132, 0.5660000000002583, 0.614100000000235, 0.6199000000001433, 0.6331000000002405, 0.6368000000002212, 0.676200000000108, 0.6866000000002259, 0.7025000000001, 0.7113000000001648, 0.748700000000099, 0.7864000000001852, 0.8300000000001546, 0.9530000000002019, 1.0774000000001251, 1.122000000000071]","[0.03830000000016298, 0.04560000000014952, 0.12840000000005602, 0.1427000000001044, 0.16850000000022192, 0.2953000000002248, 0.337800000000243, 0.40380000000004657, 0.6567000000002281, 0.6697000000001481, 0.7074000000002343, 0.7301000000002205, 0.9220000000002528, 1.0199000000002343, 1.0596000000000458]","[0.024400000000241562, 0.5651000000002568, 0.7260000000001128]","[0.37010000000009313, 0.9124000000001615, 0.9886000000001332]","[0.20400000000017826, 0.4958000000001448, 0.6973000000000411, 1.1102000000000771]","[0.02430000000003929, 0.16840000000024702, 0.1935000000000855, 0.2741000000000895, 0.8527000000001408, 0.9381000000000768, 1.0198000000002594, 1.0569000000000415, 1.130200000000059, 1.1885000000002037, 1.1956000000002405]"
4,0,Bea,"[0.07000000000016371, 0.2698000000002594, 0.32340000000021973, 0.3587000000002263, 0.5329000000001543, 0.5982000000001335, 0.6410000000000764, 0.6821000000002186, 0.6938000000002376, 0.7290000000000418, 0.9289000000001124, 0.9976000000001477, 1.0764000000001488]","[0.0010000000002037268, 0.022800000000188447, 0.15010000000006585, 0.19030000000020664, 0.2199000000000524, 0.27690000000006876, 0.3644000000001597, 0.6180000000001655, 0.6405000000002019, 0.6967000000001917, 0.7445000000002437, 0.7944000000002234, 0.8994000000002416, 1.0000000000002274, 1.105900000000247, 1.1309000000001106]","[0.03370000000018081, 0.14810000000011314, 0.25490000000013424, 0.3379000000002179, 0.362400000000207, 0.5169000000000779, 0.9649000000001706, 1.0141000000000986, 1.066300000000183, 1.0813000000000557, 1.155100000000175, 1.1841000000001713]","[0.053200000000060754, 0.158500000000231]","[0.08460000000013679, 0.25040000000012697, 0.40170000000011896, 0.4749000000001615, 0.9558000000001812, 0.9648000000001957, 1.1498000000001412]","[0.8693000000000666, 0.9688000000001011, 1.1908000000000811]","[0.1489000000001397, 0.36560000000008586, 0.41810000000009495, 0.4226000000001022, 0.6046000000001186, 0.6310000000000855, 0.640400000000227, 0.6719000000000506, 0.7447000000001935, 0.7950000000000728, 0.8131000000000768, 0.8875000000000455, 0.9196000000001732, 1.132200000000239, 1.1566000000002532, 1.1619000000000597]"
5,0,Bol,"[0.08100000000035834, 0.12950000000023465, 0.17940000000021428, 0.19800000000032014, 0.27910000000019863, 0.45220000000017535, 0.5608000000001994, 0.5940000000002783, 0.6034000000001924, 0.6244000000001506, 0.6282000000003336, 0.6312000000002627, 0.6498000000001412, 0.6809000000002925, 0.7108000000002903, 0.7518000000002303, 0.7593000000001666, 0.8410000000003492, 0.9351000000001477, 0.9974000000001979, 1.0852000000002135, 1.1597000000001572]","[0.0215000000002874, 0.08790000000021791, 0.13180000000033942, 0.15380000000027394, 0.3907000000001517, 0.4391000000002805, 0.465900000000147, 0.5217000000002372, 0.5817000000001826, 0.5873000000001412, 0.620600000000195, 0.6312000000002627, 0.7195000000001528, 0.7324000000003252, 0.7372000000002572, 0.7627000000002226, 0.813200000000279, 0.8189000000002125, 0.8325000000002092, 0.8557000000002972, 0.9625000000003183, 0.9712000000001808, 1.1021000000002914]","[0.06030000000032487, 0.09480000000030486, 0.10100000000034015, 0.14430000000015752, 0.15240000000017062, 0.2435000000002674, 0.35980000000017753, 0.38090000000033797, 0.40170000000034634, 0.43170000000031905, 0.465900000000147, 0.5323000000003049, 0.7087000000003627, 0.8108000000001994, 0.8844000000001415, 0.9652000000003227, 1.0152000000002772, 1.0737000000001444, 1.0786000000002787]","[0.3179000000002361, 0.3566000000002987, 0.801600000000235]","[0.30880000000024665, 0.9391000000002805]",[0.03710000000023683],"[0.07290000000034524, 0.16620000000034452, 0.5174000000001797, 0.5907000000001972, 0.6855000000002747, 0.7923000000002958, 0.8516000000001895, 1.1617000000003372]"
6,0,Bol,"[0.09690000000023247, 0.1584000000002561, 0.4493000000002212, 0.5359000000000833, 0.5821000000000822, 0.6251000000002023, 0.6731000000002041, 0.6928000000002612, 0.7091000000002623, 0.7343000000000757, 0.9185000000002219, 1.1593000000002576]","[0.019200000000182627, 0.0862000000001899, 0.1388000000001739, 0.14190000000007785, 0.14600000000018554, 0.20850000000018554, 0.2943000000002485, 0.3688000000001921, 0.3993000000000393, 0.4307000000001153, 0.46390000000019427, 0.5181000000002314, 0.5893000000000939, 0.5966000000000804, 0.6017000000001644, 0.60550000000012, 0.6316000000001623, 0.6449000000002343, 0.6718000000000757, 0.678000000000111, 0.7061000000001059, 0.7139000000001943, 0.7289000000000669, 0.7643000000000484, 0.7888000000002648, 0.804700000000139, 0.8113000000000739, 0.8713000000002467, 0.9455000000002656, 1.1190000000001419]","[0.0419000000001688, 0.10220000000003893, 0.1247000000000753, 0.18970000000012988, 0.19700000000011642, 0.217600000000175, 0.2515000000000782, 0.3397000000002208, 0.34690000000023247, 0.36140000000023065, 0.3694000000000415, 0.5155000000002019, 0.5733000000002448, 0.8107000000002245, 0.9162000000001171, 0.9246000000000549, 1.099500000000262, 1.1548000000002503, 1.1607000000001335, 1.17020000000025]","[0.08720000000016626, 0.38150000000018736, 1.1130000000000564]","[0.1388000000001739, 0.7179000000000997, 1.0091000000002168]","[0.39170000000012806, 0.4370000000001255, 0.9455000000002656]","[0.21370000000024447, 0.2598000000000411, 0.27470000000016626, 0.45820000000026084, 0.5155000000002019, 0.6017000000001644, 0.6953000000000884, 0.7360000000001037, 0.9750000000001364, 1.0011000000001786, 1.0801000000001295]"
7,0,Bol,"[0.3803000000002612, 0.4760000000001128, 0.5930000000000746, 0.6256000000000768, 0.6637000000000626, 0.7199000000000524, 0.7311000000001968, 0.7566000000001623, 0.7683000000001812, 1.044700000000148]","[0.013200000000097134, 0.026000000000067303, 0.03590000000008331, 0.21710000000007312, 0.23290000000019973, 0.28290000000015425, 0.39570000000026084, 0.4675000000002001, 0.4791000000002441, 0.4877000000001317, 0.5132000000000971, 0.5687000000002627, 0.5845000000001619, 0.6242000000002008, 0.6537000000000717, 0.6686000000001968, 0.6960000000001401, 0.7707000000002608, 0.8000000000001819, 0.8478000000002339, 0.9093000000002576, 0.9632000000001426, 1.1956000000002405]","[0.05710000000021864, 0.10390000000006694, 0.22590000000013788, 0.4296000000001641, 0.43760000000020227, 0.45610000000010587, 0.5278000000000702, 0.5498000000002321, 0.5651000000002568, 0.6106000000002041, 0.6400000000001, 0.6981000000000677, 0.7437000000002172, 0.9961000000000695, 1.0390000000002146, 1.0903000000000702, 1.1415000000001783, 1.1713000000002012]","[0.31270000000017717, 0.4004000000002179, 0.479200000000219, 0.49290000000019063, 0.5077000000001135, 0.5220000000001619, 0.6019000000001142, 0.6253000000001521, 0.8715000000001965]","[0.6340000000002419, 0.7436000000002423, 0.9521000000002005]","[0.09870000000023538, 0.23220000000014807, 0.3889000000001488, 1.077600000000075]","[0.003200000000106229, 0.029000000000223736, 0.07090000000016516, 0.4069000000001779, 0.45600000000013097, 0.5880000000001928, 0.6019000000001142, 0.6708000000000993, 0.8076000000000931, 0.8479000000002088, 1.0223000000000866, 1.0614000000000487, 1.1037000000001171, 1.1509000000000924]"
8,0,Bol,"[0.12889999999993051, 0.20830000000000837, 0.6520000000000437, 0.680599999999913, 0.720299999999952, 0.7572999999999865, 0.8532000000000153, 1.0237999999999374, 1.0915999999999713, 1.1650999999999385]","[0.0027000000000043656, 0.02179999999998472, 0.07999999999992724, 0.14570000000003347, 0.1634999999998854, 0.19239999999990687, 0.2803999999998723, 0.4653000000000702, 0.47499999999990905, 0.6078999999999724, 0.6272999999998774, 0.6683000000000447, 0.705199999999877, 0.7183999999999742, 0.7228000000000065, 0.7467999999998938, 0.7549999999998818, 0.771199999999908, 0.7989999999999782, 0.8018999999999323, 0.8897999999999229, 0.9497999999998683, 1.1781000000000859]","[0.1534999999998945, 0.1756000000000313, 0.20249999999987267, 0.2861000000000331, 0.41239999999993415, 0.42039999999997235, 0.5334000000000287, 0.6261999999999261, 0.6710000000000491, 0.7391999999999825, 0.7690999999999804, 1.1057000000000698, 1.1112000000000535, 1.183999999999969, 1.1914999999999054]",[],"[0.6271999999999025, 0.6866999999999734, 1.0727999999999156]","[0.1370999999999185, 0.48289999999997235, 0.7443000000000666]","[0.014799999999922875, 0.07150000000001455, 0.1876999999999498, 0.2255999999999858, 0.3111999999998716, 0.3876000000000204, 0.3967999999999847, 0.5395000000000891, 0.7934000000000196, 0.8373999999998887]"
9,0,Bol,"[0.11590000000023792, 0.18850000000020373, 0.20390000000020336, 0.2595000000001164, 0.2980000000002292, 0.4997000000000753, 0.5678000000002612, 0.6031000000000404, 0.6324000000001888, 0.6475000000002638, 0.6671000000001186, 0.6820000000002437, 0.7079000000001088, 0.7191000000002532, 0.850800000000163, 0.8929000000000542, 1.0111000000001695, 1.031800000000203, 1.0800000000001546, 1.1474000000000615]","[0.048300000000153887, 0.11600000000021282, 0.13220000000023902, 0.14650000000006003, 0.30110000000013315, 0.308100000000195, 0.3827000000001135, 0.3874000000000706, 0.4374000000002525, 0.4414000000001579, 0.46370000000024447, 0.47890000000006694, 0.6580000000001291, 0.6823000000001684, 0.7048000000002048, 0.715900000000147, 0.7492000000002008, 0.7628000000001975, 0.7728000000001884, 0.8127000000001772, 0.8516000000001895, 0.8912000000002536, 0.9971000000000458, 1.0011000000001786, 1.1854000000000724]","[0.045900000000074215, 0.10490000000004329, 0.1329000000000633, 0.2511000000001786, 0.31700000000023465, 0.497300000000223, 0.6135000000001583, 0.7238000000002103, 0.7954000000001997, 0.9764000000002397, 1.031700000000228, 1.1216000000001713, 1.1983000000002448]","[0.0159000000001015, 0.15030000000024302, 0.16140000000018517, 0.6349000000002434, 1.0330000000001291]","[0.005200000000058935, 0.1327000000001135, 0.5867000000000644, 0.8105000000000473, 1.0329000000001543, 1.1983000000002448]","[0.2594000000001415, 0.6608000000001084, 0.8411000000000968, 0.9860000000001037]","[0.050800000000208456, 0.06990000000018881, 0.3302000000001044, 0.44270000000005894, 0.6327000000001135, 0.8251000000002477, 0.9996000000001004, 1.0834000000002106, 1.1559000000002015]"
