,label,stimuli,S1U1,S2U1,S3U1,S3U2,S4U1,S4U2,S4U3
0,0,Bea,"[0.06460000000015498, 0.14460000000008222, 0.1507000000001426, 0.19929999999999382, 0.2278000000001157, 0.2976000000001022, 0.46659999999997126, 0.5377000000000862, 0.631800000000112, 0.712500000000091, 0.8827000000001135]","[0.056800000000066575, 0.06750000000010914, 0.12950000000000728, 0.29100000000016735, 0.3783000000000811, 0.5104000000001179, 0.5150000000001, 0.5891000000001441, 0.6122000000000298, 0.6705000000001746, 0.7496000000001004, 0.7617000000000189, 0.9763000000000375, 0.9852000000000771]","[0.01770000000010441, 0.080600000000004, 0.10320000000001528, 0.133199999999988, 0.25270000000000437, 0.2638000000001739, 0.35190000000011423, 0.35740000000009786, 0.378400000000056, 0.4130000000000109, 0.43479999999999563, 0.5471999999999753, 0.8227000000001681, 0.8381000000001677, 0.929700000000139]",[],"[0.38049999999998363, 0.5367000000001099]","[0.49030000000016116, 0.6868000000001757]","[0.04809999999997672, 0.080600000000004, 0.10940000000005057, 0.1755000000000564, 0.24290000000019063, 0.2460000000000946, 0.39790000000016335, 0.6230000000000473, 0.6759000000001834, 0.7608000000000175, 0.7761000000000422, 0.9184999999999945, 0.9383000000000266]"
1,0,Bea,"[0.04380000000014661, 0.19920000000001892, 0.5393000000001393, 0.58400000000006, 0.6125000000001819, 0.7975000000001273, 0.814600000000155, 0.8699000000001433]","[0.02860000000009677, 0.09300000000007458, 0.14750000000003638, 0.16430000000013933, 0.261600000000044, 0.304300000000012, 0.31159999999999854, 0.3510000000001128, 0.376700000000028, 0.4514000000001488, 0.49500000000011823, 0.5428000000001703, 0.585700000000088, 0.6444000000001324, 0.7577000000001135, 0.7998000000000047, 0.9564000000000306]","[0.027700000000095315, 0.06270000000017717, 0.08910000000014406, 0.28490000000010696, 0.3632000000000062, 0.5610000000001492, 0.5733999999999924, 0.6102000000000771, 0.6458000000000084, 0.6829999999999927, 0.8006000000000313, 0.8229000000001179, 0.906400000000076, 0.9661000000000968, 0.9978000000000975]","[0.04510000000004766, 0.4535000000000764, 0.46640000000002146, 0.7331000000001495]","[0.18020000000001346, 0.7246000000000095, 0.9110000000000582]","[0.27280000000018845, 0.5439000000001215]","[0.08910000000014406, 0.15750000000002728, 0.2966000000001259, 0.31140000000004875, 0.3421000000000731, 0.378800000000183, 0.4536000000000513, 0.5159000000001015, 0.8285000000000764]"
2,0,Bea,"[0.06340000000000146, 0.22540000000003602, 0.29700000000002547, 0.3833999999999378, 0.5552999999999884, 0.641800000000103, 0.6864000000000487, 0.7307000000000698, 0.9022999999999683, 0.9308000000000902, 0.9681000000000495]","[0.02430000000003929, 0.0988999999999578, 0.16790000000014516, 0.20890000000008513, 0.22289999999998145, 0.2778000000000702, 0.39360000000010587, 0.43430000000012114, 0.5142000000000735, 0.5218999999999596, 0.6575000000000273, 0.6967999999999392, 0.7261000000000877, 0.7454000000000178, 0.7975000000001273, 0.8437000000001262, 0.8752999999999247, 0.9302999999999884, 0.939200000000028]","[0.005499999999983629, 0.16270000000008622, 0.18010000000003856, 0.2136000000000422, 0.24520000000006803, 0.2925000000000182, 0.4329000000000178, 0.710399999999936, 0.7326000000000477, 0.7411999999999352, 0.7558000000001357, 0.7766000000001441, 0.817299999999932, 0.8324999999999818, 0.9021999999999935, 0.916300000000092, 0.924199999999928]","[0.06340000000000146, 0.16589999999996508, 0.18090000000006512]","[0.08249999999998181, 0.151299999999992, 0.3846000000000913, 0.8278000000000247]","[0.0342000000000553, 0.36990000000014334]","[0.06809999999995853, 0.13429999999993925, 0.1571000000001277, 0.18800000000010186, 0.22289999999998145, 0.4515000000001237, 0.4941000000001168, 0.6240999999999985, 0.6900000000000546, 0.7854999999999563, 0.801300000000083, 0.9810999999999694]"
3,0,Bea,"[0.027200000000220825, 0.07120000000008986, 0.09350000000017644, 0.23300000000017462, 0.319700000000239, 0.5671000000002095, 0.6421000000000276, 0.7118000000000393, 0.8824000000001888, 0.9974000000001979]","[0.0261000000000422, 0.057400000000143336, 0.08720000000016626, 0.13830000000007203, 0.22620000000006257, 0.33400000000006, 0.38160000000016225, 0.3876000000000204, 0.5001000000002023, 0.5596000000000458, 0.5626000000002023, 0.6054000000001452, 0.6348000000000411, 0.6453000000001339, 0.6932000000001608, 0.8588000000002012, 0.9471000000000913]","[0.06490000000007967, 0.12800000000015643, 0.19640000000003965, 0.49850000000014916, 0.5033000000000811, 0.7467000000001462, 0.8373000000001412, 0.8446000000001277, 0.9274000000000342, 0.9417000000000826, 0.9675000000002001]",[0.8234000000002197],"[0.06360000000017862, 0.6549000000002252]",[0.2863000000002103],"[0.05720000000019354, 0.2053000000000793, 0.3244000000001961, 0.42250000000012733, 0.43610000000012406, 0.6152000000001863, 0.8233000000000175, 0.9674000000002252, 0.9925000000000637]"
4,0,Bea,"[0.05040000000008149, 0.23400000000015098, 0.31260000000020227, 0.4031000000002223, 0.4917000000000371, 0.5437000000001717, 0.5879000000002179, 0.6335000000001401, 0.7906000000000404, 0.8690000000001419]","[0.0339000000001306, 0.08230000000003201, 0.1147000000000844, 0.1429000000000542, 0.21440000000006876, 0.25470000000018445, 0.30780000000004293, 0.34690000000023247, 0.38390000000003965, 0.461100000000215, 0.4755000000002383, 0.6590000000001055, 0.7611000000001695, 0.8000000000001819, 0.8218000000001666, 0.949100000000044, 0.9893000000001848]","[0.07370000000014443, 0.13500000000021828, 0.1429000000000542, 0.1508000000001175, 0.17400000000020555, 0.19680000000016662, 0.2093000000002121, 0.2942000000000462, 0.49650000000019645, 0.5759000000000469, 0.6176000000000386, 0.6310000000000855, 0.6890000000000782, 0.832700000000159, 0.9471000000000913]","[0.7862000000002354, 0.8522000000000389, 0.9575000000002092]","[0.3724000000001979, 0.7031000000001768, 0.883600000000115]",[0.7836000000002059],"[0.10180000000013933, 0.17380000000002838, 0.5174000000001797, 0.5345000000002074, 0.6721000000002277, 0.7576000000001386, 0.9479000000001179]"
5,0,Bol,"[0.016200000000253567, 0.019500000000334694, 0.07290000000011787, 0.14920000000029177, 0.219300000000203, 0.4395000000001801, 0.6052000000001954, 0.8800000000003365, 0.9285000000002128, 0.9784000000001924, 0.9970000000002983]","[0.08930000000032123, 0.18170000000031905, 0.2575000000001637, 0.2673000000002048, 0.3402000000003227, 0.4658000000001721, 0.5382000000001881, 0.5595000000002983, 0.5763000000001739, 0.618900000000167, 0.6786000000001877, 0.6946000000002641, 0.7496000000003278, 0.7537000000002081, 0.7743000000002667, 0.8205000000002656, 0.8869000000001961, 0.9308000000003176, 0.9528000000002521]","[0.10700000000019827, 0.1506000000001677, 0.17740000000026157, 0.41760000000022046, 0.5402000000001408, 0.5478000000002794, 0.5608000000001994, 0.5903000000002976, 0.859300000000303, 0.893800000000283, 0.9000000000003183, 0.9433000000001357, 0.9514000000001488]",[0.20400000000017826],"[0.09770000000025902, 0.3137000000001535, 0.5402000000001408, 0.7067000000001826, 0.7297000000003209]","[0.17010000000027503, 0.7954000000001997, 0.836100000000215]","[0.12410000000022592, 0.2963000000002012, 0.3058000000003176, 0.32500000000027285, 0.40150000000016917, 0.41590000000019245, 0.42810000000031323, 0.546800000000303, 0.6507000000001426, 0.7136000000002696, 0.7901000000001659, 0.8719000000003234, 0.9652000000003227]"
6,0,Bol,"[0.4476000000001932, 0.5966000000000804, 0.7335000000000491, 0.8959000000002106, 0.9574000000002343]","[0.029400000000123327, 0.03660000000013497, 0.12370000000009895, 0.23400000000015098, 0.25500000000010914, 0.3001000000001568, 0.3161000000002332, 0.3549000000000433, 0.3985000000002401, 0.5108000000000175, 0.5586000000000695, 0.6241000000002259, 0.7967000000001008, 0.8182000000001608, 0.8852000000001681, 0.9378000000001521, 0.940900000000056, 0.9450000000001637]","[0.05660000000011678, 0.11610000000018772, 0.2682000000002063, 0.3034000000002379, 0.32780000000002474, 0.3427000000001499, 0.3970000000001619, 0.4029000000000451, 0.5109000000002197, 0.6658000000002176, 0.840900000000147, 0.9012000000000171, 0.9237000000000535, 0.988700000000108, 0.9960000000000946]","[0.46200000000021646, 0.4717000000000553, 0.8862000000001444]","[0.13190000000008695, 0.9378000000001521]","[0.43600000000014916, 0.7934000000000196]","[0.03650000000016007, 0.22090000000002874, 0.30250000000023647, 0.47080000000005384, 0.5227000000002135, 0.7404000000001361]"
7,0,Bol,"[0.34360000000015134, 0.43810000000007676, 0.5822000000000571, 0.6087000000002263, 0.6396000000002005, 0.6904000000001815]","[0.039900000000216096, 0.15540000000009968, 0.24240000000008877, 0.2474000000001979, 0.2659000000001015, 0.322800000000143, 0.3611000000000786, 0.3661000000001877, 0.38770000000022264, 0.4075000000000273, 0.4291000000000622, 0.43820000000005166, 0.4489000000000942, 0.5091000000002168, 0.5369000000000597, 0.5721000000000913, 0.6250000000002274, 0.6588000000001557, 0.8122000000000753, 0.8250000000000455, 0.8349000000000615]","[0.10010000000011132, 0.2113000000001648, 0.2881000000002132, 0.29160000000001673, 0.3020000000001346, 0.44870000000014443, 0.753400000000056, 0.8561000000001968, 0.9029000000000451]","[0.28650000000016007, 0.30320000000006075, 0.4974000000001979, 0.593900000000076]",[0.3785000000000309],"[0.19580000000019027, 0.34330000000022665, 0.8977000000002135]","[0.2864000000001852, 0.30930000000012114, 0.3202000000001135, 0.38320000000021537, 0.4132000000001881, 0.7058000000001812, 0.8022000000000844, 0.8280000000002019, 0.8699000000001433]"
8,0,Bol,"[0.21059999999988577, 0.34199999999987085, 0.36760000000003856, 0.4170999999998912, 0.5626999999999498, 0.6112000000000535, 0.6856999999999971, 0.736699999999928, 0.9278999999999087]","[0.021299999999882857, 0.030700000000024374, 0.0905999999999949, 0.09359999999992397, 0.18249999999989086, 0.29169999999999163, 0.3290999999999258, 0.33320000000003347, 0.3830000000000382, 0.42470000000002983, 0.4558999999999287, 0.4882000000000062, 0.5108999999999924, 0.5489000000000033, 0.6043999999999414, 0.6677999999999429, 0.6762999999998556, 0.7228999999999814, 0.7742000000000644, 0.7931999999998425, 0.8016999999999825, 0.8207999999999629, 0.8789999999999054, 0.9447000000000116, 0.9624999999998636, 0.991399999999885]","[0.03489999999987958, 0.08240000000000691, 0.15020000000004075, 0.16869999999994434, 0.2817999999999756, 0.355199999999968, 0.35819999999989705, 0.40200000000004366, 0.4539999999999509, 0.6965999999999894, 0.9524999999998727, 0.9746000000000095]",[],[0.18059999999991305],"[0.15809999999987667, 0.5571999999999662, 0.9360999999998967]","[0.030600000000049477, 0.06529999999997926, 0.18519999999989523, 0.2178999999998723, 0.2380000000000564, 0.32320000000004256, 0.355199999999968, 0.4557999999999538, 0.4803999999999178, 0.5634999999999764, 0.6390999999998712, 0.813799999999901, 0.8704999999999927, 0.986699999999928]"
9,0,Bol,"[0.05840000000011969, 0.4309000000000651, 0.5050000000001091, 0.5802000000001044, 0.6775000000002365, 0.9149000000002161, 0.9875000000001819]","[0.026400000000194268, 0.10770000000002256, 0.16020000000003165, 0.1812000000002172, 0.18890000000010332, 0.20000000000004547, 0.21190000000024156, 0.296100000000024, 0.36380000000008295, 0.4466000000002168, 0.49300000000016553, 0.5473000000001775, 0.7383000000002085, 0.7952000000000226, 0.8473000000001321, 0.915000000000191, 0.9312000000002172, 0.9455000000000382]","[0.07960000000002765, 0.2875000000001364, 0.29510000000004766, 0.3808000000001357, 0.41440000000011423, 0.46280000000001564, 0.5390000000002146, 0.5815000000002328, 0.607300000000123, 0.6132000000002336, 0.7928000000001703, 0.8449000000000524, 0.9039000000000215, 0.9319000000000415]","[0.08400000000006003, 0.4580000000000837, 0.8149000000000797, 0.9493000000002212, 0.9604000000001633]","[0.38570000000004256, 0.5692000000001372, 0.8042000000000371, 0.9317000000000917]",[0.12760000000002947],"[0.0037000000002080924, 0.2398000000000593, 0.46270000000004075, 0.48880000000008295, 0.67450000000008, 0.7128000000000156, 0.8498000000001866, 0.868900000000167]"
