StartStop	ts_LN_CR020108A	ts_LN_CR020115A	ts_LN_CR020208A	ts_LN_CR020221A	ts_LN_CR020225B	ts_LN_CR020311A	ts_LN_CR020311B	ts_LN_CR020322A	ts_LN_CR020326A	ts_LN_CR020327A	ts_LN_CR020327B	ts_LN_CR020506A	ts_LN_CR020508A	ts_LN_CR020709B	ts_LN_CR020806A	ts_LN_CR020910A	ts_LN_CR030618A	ts_LN_CR030710A	ts_LN_CR031013A	ts_PN1	ts_PN2	ts_PN3	ts_PN_CR011218B	ts_PN_CR020131A	ts_PN_CR020215A	ts_PN_CR020401A	ts_PN_CR020415A	ts_PN_CR020422A	ts_PN_CR020513A	ts_PN_CR020523A	ts_PN_CR020528A	ts_PN_CR020529A	ts_PN_CR020606A	ts_PN_CR020709A	ts_PN_CR020711A	ts_PN_CR020718B	ts_PN_CR020722A	ts_PN_CR020830A	ts_PN_CR020909A	ts_PN_CR020912A	ts_PN_CR020918A	ts_PN_CR020927A	ts_PN_CR021001A	ts_PN_CR021014A	ts_PN_CR021105A	ts_PN_CR021211A	ts_PN_CR021213A	ts_PN_CR021220A	ts_PN_CR030110A	ts_PN_CR030110B	ts_PN_CR030228B	ts_PN_CR030304A	ts_PN_CR030522A	ts_PN_CR030614A	ts_PN_CR030620A	ts_PN_CR030625A	ts_PN_CR030625B	ts_PN_CR030627A	ts_PN_CR030627B	ts_PN_CR040104A	ts_PN_CR040108A	ts_PN_CR040217A	ts_PN_CR040518A	ts_PN_CR040720A	ts_PN_CR040723A	ts_PN_CR040914A	ts_PN_CR040916A	ts_PN_CR040920A	ts_PN_CR050104A	ts_PN_CR050104B
0.000000	4.726000	0.168650	0.457900	0.363450	2.702200	0.147600	0.405950	2.547200	0.064000	0.137050	0.680800	0.110250	0.124650	0.137350	0.039300	0.137550	0.582250	0.282500	1.107400	0.096900	3.955400	3.529000	0.032200	3.116000	3.650600	0.102450	0.984950	0.077150	0.113350	2.249200	0.037000	0.073250	0.176100	0.254850	0.704450	0.047650	0.103400	0.208800	0.175600	0.046600	0.056250	0.122200	0.067150	0.077650	1.697800	0.258450	0.056600	0.474850	0.130950	0.160800	0.054700	0.124300	0.134600	0.049850	0.202100	0.037850	0.034050	0.042300	0.031200	0.237400	0.187150	0.342250	0.117050	0.028750	0.580600	0.028050	0.527000	2.920300	0.068500	0.057350
10.000000	4.896200	0.376650	0.783100	0.394400	2.948900	0.323600	0.615650	2.768300	0.138350	0.214400	2.168900	0.140350	0.308050	0.199650	0.059650	0.241400	0.733450	0.864850	1.698800	0.164600	4.000800	3.631800	0.134000	3.241200	3.776400	0.215400	0.985050	0.134600	0.165950	2.280600	0.057450	0.108400	0.225250	0.581800	1.385100	0.104550	0.192800	0.284100	0.252150	0.105950	0.100600	0.253500	0.120100	0.379200	2.595900	0.310000	0.534950	0.490850	0.184350	0.225050	0.081200	0.163700	0.172250	0.065600	0.260950	0.146000	0.096150	0.081550	0.058100	0.300200	0.373100	0.645250	0.240300	0.036550	0.674200	0.045400	0.581050	2.998200	0.128550	0.087900
 	5.040400	0.581050	0.891050	0.727700	3.144800	0.526700	0.712600	3.014700	0.199450	0.290000	2.226900	0.192350	0.524250	0.269000	0.082150	0.336800	2.527000	1.509500	13.199000	0.320300	4.043000	3.738000	0.220800	3.372200	3.929400	0.300400	0.987500	0.190900	0.226750	2.314900	0.073850	0.172100	0.287050	0.624900	2.794100	0.261100	0.247600	0.337200	0.380550	0.186150	0.139000	0.346350	0.178500	0.572300	4.400000	0.368800	0.693700	0.508650	0.231450	0.407450	0.117150	0.204500	0.223000	0.242350	0.328500	0.168300	0.142750	0.117600	0.082200	0.329050	0.396800	0.697250	0.408000	0.268600	1.737000	0.062550	0.777550	3.074200	0.169850	0.143050
 	5.207600	0.706550	1.587200	0.751250	3.421400	0.729950	0.952400	3.280700	0.276500	0.398000	2.581800	0.223700	0.730850	0.343900	0.106900	0.420150	2.613800	1.719400	13.574000	0.366300	4.072600	3.884600	0.301000	3.462400	20.160000	0.459250	0.987800	0.251550	0.278050	2.355100	0.089400	0.200000	0.304000	0.669100	3.457000	0.330250	0.421100	0.364750	0.485500	0.237450	0.179350	0.431450	0.233050	0.845100	4.952900	0.439850	0.713800	0.767300	0.252950	0.527700	0.148250	0.235950	0.307100	0.259900	0.420200	0.256150	0.183350	0.144500	0.113700	0.354450	0.607800	0.736550	0.677650	0.286900	1.763400	0.080900	0.866150	3.150200	0.220350	0.325000
 	5.374600	0.788600	2.068600	10.049000	3.664800	0.909450	1.236700	3.664400	0.333050	0.474150	2.765300	0.258700	0.902450	0.408350	0.130500	0.512750	2.839700	2.072200	14.067000	0.404400	4.111400	4.040000	0.388400	3.637800	20.354000	0.597050	0.988000	0.311900	0.440950	2.400900	0.105550	0.220300	0.326500	0.891500	4.890400	0.431500	0.524050	0.466850	0.513950	0.281600	0.222450	0.499050	0.298200	1.003600	10.206000	0.498450	10.050000	0.847950	0.278450	0.576850	0.177200	0.267000	0.366350	0.476300	0.476700	0.315450	0.212950	0.182000	0.159300	0.402300	0.734650	0.766650	0.933250	0.299950	1.789300	0.113850	0.888200	3.212700	0.266800	0.388350
 	5.530800	0.940950	2.888200	10.193000	3.916100	1.101700	1.507100	4.168500	0.396700	0.581350	2.894700	0.318400	1.105500	0.473250	0.154450	0.599400	2.960400	10.419000	14.384000	0.438050	4.192400	4.177000	0.484000	3.734200	20.463000	0.710300	0.988200	0.382750	0.500000	2.443400	0.124900	0.238250	0.349450	0.928950	10.386000	0.519900	0.561400	0.496550	0.547500	0.317850	0.266600	0.603900	0.366350	10.004000	10.460000	0.635650	10.101000	0.864550	0.321800	0.633300	0.206400	0.294250	0.481050	0.595200	0.523500	0.348450	0.248000	0.237050	0.177800	0.478100	0.751200	0.900950	1.160200	0.306850	1.826700	0.192950	10.938000	3.271400	0.313900	0.421500
 	5.676500	1.169800	3.495500	10.310000	4.173400	1.261400	1.599500	4.737500	0.486500	0.696650	3.067000	0.356450	1.319600	0.536000	0.176700	0.683450	3.295600	10.617000	14.956000	0.466650	4.223200	4.474400	0.564600	3.890000	20.609000	0.792950	0.988800	0.434150	0.536300	2.521900	0.157850	0.258250	0.412600	0.961050	10.494000	0.627750	0.619800	0.566200	0.590800	0.363450	0.304100	0.691950	0.419500	10.263000	10.622000	0.787100	10.211000	1.001700	0.347000	0.873200	0.235250	0.321850	0.664500	0.753000	0.588050	0.459150	0.282400	0.266800	0.196950	0.599350	0.795700	0.952850	1.513700	0.328550	1.859100	0.217850	13.281000	3.354700	0.368650	0.460050
 	10.105000	1.283900	3.847400	10.496000	4.415800	1.436600	1.714500	12.009000	0.556850	0.780600	3.885700	0.388300	1.553800	0.608400	0.196000	0.766650	3.504800	20.127000	20.106000	0.484000	4.251400	4.594800	0.658200	3.981000	20.744000	0.945400	0.991650	0.488800	0.609850	2.562100	0.201000	0.276900	0.439200	0.989600	10.531000	0.654800	0.688750	0.836100	0.629750	0.490800	0.347450	0.808200	0.478500	10.635000	10.807000	0.870300	10.466000	10.002000	0.402300	0.971050	0.259600	0.359900	0.719300	0.771200	0.707250	0.528100	0.315350	0.295650	0.219300	0.672400	10.107000	1.090300	1.605200	0.341000	2.497400	0.240000	13.346000	3.427800	0.425900	0.488150
 	10.221000	1.426900	4.279300	10.584000	4.711200	1.607800	1.944800	12.719000	0.609700	0.852200	4.459500	0.446800	1.871100	0.683000	0.217350	0.859700	3.705800	20.214000	20.654000	0.510700	4.287800	4.918200	0.730600	4.117000	20.906000	1.028300	0.992000	0.539500	0.646150	2.601800	0.241250	0.302200	0.538050	1.013200	10.788000	0.685850	0.732350	0.868850	0.659950	0.592000	0.370200	0.978500	0.541050	10.831000	10.958000	0.971150	10.503000	10.024000	0.442450	1.019200	0.285600	0.397500	0.759300	0.803400	0.811500	0.546600	0.351850	0.331700	0.246150	0.719450	10.302000	1.127200	1.868100	0.350500	2.821400	0.259650	13.412000	3.492600	0.467650	0.571800
 	10.348000	1.600700	4.734900	10.738000	4.945000	1.806800	2.198500	12.987000	0.609800	0.921300	4.698800	0.480450	2.143000	0.757150	0.232800	0.946650	3.850800	20.693000	20.880000	0.566900	4.342600	5.139400	0.825400	4.193200	21.017000	1.149000	0.992450	0.595250	0.715650	2.643300	0.268100	0.335600	0.602200	1.044500	11.071000	0.709500	0.787250	0.907150	0.728500	0.771450	0.387950	10.193000	0.600000	20.172000	11.079000	10.544000	10.537000	10.153000	0.489350	10.166000	0.311300	0.430550	0.933700	0.815450	0.869200	0.569050	0.385050	0.363250	0.284400	0.835350	10.375000	1.186400	1.895100	0.359450	3.154300	0.277850	13.489000	3.554500	0.512100	0.613050
